market_name,sido,sigungu,address,lat,lng,num_stores,items,open_cycle,parking_p02,parking_p03,rest_area,kids_room,match_status
중앙선어시장,전남,여수시,전라남도 여수시 중앙로 88-1,34.73942888,127.7370587,78,수산물,매일,Y,Y,N,N,매칭완료
중앙시장,전남,여수시,전라남도 여수시 중앙로 43,34.74059178,127.7325592,114,가공식품+의류+신발+가정용품+음식점+근린생활서비스,매일,Y,Y,Y,N,매칭완료
진남시장,전남,여수시,전라남도 여수시 학동1길 10,34.76425827,127.6641294,116,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+근린생활서비스,매일,Y,Y,N,N,매칭완료
해안로건어물상가시장,전남,여수시,전라남도 여수시 교동남2길 14,34.73953431,127.7345263,35,수산물+가공식품,매일,Y,Y,N,N,매칭완료
굴비골영광시장(구 영광매일시장),전남,영광군,전라남도 영광군 영광읍 중앙로3길 5-22,35.27513263,126.5123207,66,농산물+축산물+수산물+가공식품+의류+가정용품+음식점,매일,Y,Y,Y,Y,매칭완료
영광고추특화시장,전남,영광군,전라남도 영광군 영광읍 신남로 100-25,35.27472202,126.4935505,42,농산물,1일+6일,Y,Y,N,N,매칭완료
영광터미널시장,전남,영광군,전라남도 영광군 영광읍 신남로3길 5-3,35.27553643,126.5030198,91,농산물+축산물+수산물+가공식품+의류+가정용품,매일,Y,Y,Y,N,매칭완료
독천5일시장,전남,영암군,전라남도 영암군 미암면 독천1길 19,34.72459224,126.5671189,35,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,4일+9일,Y,Y,N,N,매칭완료
시종5일시장,전남,영암군,전라남도 영암군 시종면 내동중앙로 26,34.8674024,126.6080951,46,농산물+축산물+수산물+가공식품+의류+가정용품,2일+7일,Y,Y,N,N,매칭완료
신북5일시장,전남,영암군,전라남도 영암군 신북면 황금동로 78,34.88859606,126.6922282,28,농산물+축산물+수산물+가공식품+의류+신발+가정용품,3일+8일,N,N,N,N,매칭완료
영암5일시장,전남,영암군,전라남도 영암군 영암읍 오일시장길 28,34.80123497,126.7005743,120,농산물+수산물+가공식품+의류,5일+10일,Y,Y,N,N,매칭완료
완도남양시장(구 완도종합시장),전남,완도군,전라남도 완도군 완도읍 개포로56번길 16-4,34.31651727,126.7477207,27,농산물+수산물+의류+신발+음식점,5일+10일,N,N,N,N,매칭완료
완도전통시장(구 완도5일시장),전남,완도군,전라남도 완도군 완도읍 개포로 34-1,34.31610369,126.7482543,24,농산물+수산물+음식점,매일,Y,Y,N,N,매칭완료
완도중앙시장,전남,완도군,전라남도 완도군 완도읍 장보고대로 282-1,34.31446812,126.7552341,7,농산물+수산물+음식점,매일,Y,Y,N,N,매칭완료
사거리시장,전남,장성군,전라남도 장성군 북이면 사남북길 22,35.42767379,126.8072694,30,농산물+축산물+수산물+의류+신발+가정용품+음식점,1일+6일,Y,Y,Y,N,매칭완료
사창시장,전남,장성군,전라남도 장성군 삼계면 사창로 81-2,35.26039872,126.6630702,36,농산물+축산물+수산물+가공식품+의류+신발+음식점,2일+7일,Y,Y,N,N,매칭완료
황룡시장,전남,장성군,전라남도 장성군 황룡면 삼월길 5,35.2916867,126.7738864,119,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,4일+9일,Y,Y,N,N,매칭완료
대덕읍전통시장(대덕시장),전남,장흥군,전라남도 장흥군 대덕읍 거정2길 10,34.49944415,126.8871414,27,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,5일+10일,Y,Y,N,N,매칭완료
용산시장,전남,장흥군,전라남도 장흥군 용산면 용인길 4,34.61490641,126.9153133,7,농산물+가공식품+의류+음식점,1일+6일,Y,Y,N,N,매칭완료
