address,lat,lng
광주 광산구 수완로106번길 37 1층,35.1940368745936,126.832247366041
광주 남구 서문대로627번안길 9,35.1144649224639,126.89690961602
광주 북구 서림로 29,35.1670019419079,126.891801995044
광주 동구 필문대로287번길 23-16,35.145454922874,126.929878123062
광주 광산구 산월로 80,35.2070025690826,126.846597507462
광주 광산구 비아동원촌길 8,35.2202717338826,126.825514798502
광주 서구 내방로246번길 4,35.1572976359133,126.867643155477
광주 북구 자미로66번길 8-3 1층,35.1713895221278,126.905305121077
광주 북구 월동로 45,35.1756340438245,126.935197542208
광주 북구 설죽로336번길 3,35.1895985327898,126.899698954132
광주 동구 제봉로222번길 3,35.1552536362062,126.913836319229
광주 서구 상무오월로29번길 19,35.1573261173284,126.86246251989
광주 광산구 산정공원로71번길 18-4,35.1741400835091,126.805642401552
광주 북구 설죽로 518-4,35.2049462125038,126.898689860274
광주 남구 대남대로181번길 14-1 부촌 숯불갈비,35.1322893845749,126.905160375755
광주 북구 용봉택지로 59 1층,35.1789205806197,126.893113805407
광주 서구 시청로 53 2층 201호,35.1532075203005,126.851161340703
광주 동구 중흥로 197,35.1608203028178,126.915313504195
광주 광산구 진곡산단2번로 53,35.1995749624153,126.790782040631
광주 남구 제중로 124,35.1426364188265,126.907758835727
광주 광산구 산정로 62,35.1720970579917,126.804626261759
광주 북구 경양로 93,35.1625232809802,126.902313994041
광주 광산구 무진대로212번길 29-27 복천빌딩,35.1603559267128,126.805095236633
광주 북구 금재로36번길 47-10,35.1558823369796,126.910238872956
광주 북구 제봉로 258,35.1575889735764,126.911961453379
광주 북구 용봉택지로13번길 14 북문로떡볶이,35.1797126366427,126.888160315142
광주 광산구 임방울대로 360 영주빌딩 1층 105호,35.1920239233668,126.824392226524
광주 광산구 장신로64번길 9-14,35.1901443903749,126.818382105057
광주 광산구 첨단중앙로170번길 54 1층 102호,35.2202695231565,126.844739787041
광주 광산구 임방울대로332번길 9-12,35.1900260414732,126.825180259712
광주 광산구 첨단강변로99번길 34,35.2157983592969,126.850819277104
광주 남구 봉선2로 92 1층 102호,35.1258079281732,126.916399370874
광주 북구 대자로 65 1층(운암동),35.1734291514579,126.879837417242
광주 북구 군왕로 88,35.1690459800907,126.932806063702
광주 동구 동계천로 143-5 1층 분식집,35.1492824343642,126.925012462319
광주 광산구 장신로 98 B관 3층,35.1894383628979,126.819287851791
광주 광산구 하남대로54번안길 4 1층 분홍포차,35.1778184778149,126.799100577991
광주 북구 대자로 87,35.173372603717,126.882004791904
광주 북구 송해로58번길 2,35.2034219338013,126.900207867873
광주 북구 반룡로28번길 31 1층,35.1775501652734,126.900858879674
광주 서구 경열로103번길 6-2,35.1527799487453,126.89687996785
광주 북구 설죽로214번길 105 1층,35.1780289658863,126.903424989103
광주 광산구 선운로20번길 32 1층,35.1469916647553,126.774058624289
광주 남구 봉선1로62번안길 1 1층,35.1274547521027,126.912111727315
광주 북구 북문대로 79 벽산블루밍상가 102동 104호,35.1774184696133,126.877679846805
광주 북구 호동로 34-2,35.1749550182102,126.916319009734
광주 광산구 사암로216번길 38-6,35.1630383708275,126.810264625353
광주 광산구 송정로 34 1층,35.1357688741556,126.794648933351
광주 남구 서문대로 695 1층,35.1214432155733,126.898203906868
광주 동구 필문대로273번길 18,35.1460010923234,126.929471622253
광주 동구 중앙로160번길 38 2층,35.145965719858,126.916373275388
광주 서구 상무오월로 31,35.1557061487346,126.862819743438
광주 동구 서석로 23-9,35.1460273937947,126.916142541987
광주 북구 문산로 60 한신아파트,35.1867732971249,126.924353533228
광주 남구 효우로93번길 9,35.1053674711115,126.905361471605
광주 북구 서하로 82 125호,35.1871336029727,126.889355134141
광주 북구 평교로18번길 58,35.178080639679,126.927783039404
광주 북구 첨단연신로108번길 39-18 1층 불장난 파스타,35.2083794123384,126.865094804121
광주 광산구 왕버들로252번길 35 1층,35.1949785087362,126.835592371092
광주 광산구 하남대로54번안길 142-1 1층,35.1776679914416,126.800160003726
광주 동구 필문대로205번길 7,35.152236647714,126.931887147485
